Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
7,106,-0.4951825725713288,0.17085757736260918,0.5741334672310862,6,1,56,7,1,1,7,312,5,1,-0.6739405533221836,-0.6614957541736474,-0.635705831512801,-0.3659769349560106,-1.149683856217663
19,802,-0.5179164876493917,-0.7212702800919405,0.3622682850489242,2,1,40,15,3,2,9,289,77,1,-0.662464590397986,-0.5488104501116681,-0.2630006295204954,-0.3659769349560106,-0.6732671202225975
8,1030,-0.6129855870667454,-1.61339813754649,0.222768576616225,6,1,39,8,1,2,6,301,11,1,-1.6034935501821928,-1.3000458105248638,-0.30027114971972596,-0.3659769349560106,-1.149683856217663
30,492,-0.3736594628813202,0.765609482332309,-0.2916365982293533,6,1,41,13,1,2,6,305,15,1,-0.662464590397986,-0.17319276990507018,-0.5984353113135704,-0.3659769349560106,-1.0135647887905015
30,548,0.10209937811595868,0.4682335298474591,0.2576435037243998,2,1,45,7,1,2,60,78,167,2,1.0359779223832652,0.46535728644614616,1.5259843400425714,2.100623749411996,0.2115068180539528
19,216,-0.4249141077845891,0.17085757736260918,0.33288615896028695,6,1,56,7,1,2,16,324,31,1,0.47365573909758063,-0.28587807396704956,-0.7847879123097232,-0.3659769349560106,-0.6052075865090166
21,169,0.08101842533602625,-0.4238943276070906,-0.12598069446552299,6,0,45,15,3,2,46,132,144,1,0.7949827009751147,0.06720254542715244,-1.179855426421567,-0.3659769349560106,-0.12879085051395114
1,950,0.3914401154731222,0.17085757736260918,0.3622682850489242,2,0,12,15,3,2,47,144,199,0,0.3566009172707647,0.39774610400895855,0.16188330075073293,-0.3659769349560106,-0.06073131680037036
27,624,-0.12937321176977212,0.17085757736260918,0.030956477521263612,6,0,45,15,1,2,37,124,121,1,0.8867904043686958,0.34515962878003487,-0.8518748486683383,-0.3659769349560106,-0.12879085051395114
23,834,-0.4662484988356125,-0.4238943276070906,0.5366429205897982,2,1,45,15,1,2,21,307,90,1,0.10872011810809562,0.40525845761309054,0.6016754391016536,-0.3659769349560106,-0.12879085051395114
8,397,-0.45963499626744875,0.17085757736260918,-0.5918922831671842,6,1,45,13,1,2,6,305,24,1,-0.6854165162463812,-0.2558286595505217,-0.635705831512801,-0.3659769349560106,-0.4690885190818551
25,590,-0.5137834618881999,0.4682335298474591,-0.5524836155349467,6,1,6,7,1,2,107,266,279,1,-1.387745447207277,-1.420243468190975,-0.836966640588646,-0.3659769349560106,-1.6261005922127285
19,200,-0.2595765435804957,0.765609482332309,-0.41069959937666206,6,0,6,2,1,2,22,9,35,1,0.47365573909758063,-0.28587807396704956,-0.7847879123097232,-0.3659769349560106,-0.6052075865090166
29,526,-0.0033033190641508846,0.765609482332309,-0.581865741623584,2,1,6,9,1,2,41,66,175,1,0.7215365382602498,0.9461479171105914,0.8625690804962675,-0.3659769349560106,-0.12879085051395114
31,640,-0.31331166529073656,0.17085757736260918,-0.22333405348799296,6,0,6,7,1,2,6,7,69,1,-0.7175492124341346,-0.6464710469653835,-0.9040535769472611,-0.3659769349560106,-0.4690885190818551
19,195,-0.4687285622986739,-0.1265183751222407,-0.7455163370786942,6,0,6,13,1,2,106,267,276,1,-1.3510223658498446,-1.262484042504204,-0.22573010932126486,-0.3659769349560106,-1.149683856217663
19,74,-0.5183298315599019,0.765609482332309,-0.8830630495933357,6,1,6,7,1,2,101,242,258,1,-1.9248205120597266,-1.9010340988554204,-0.8593289527081843,-0.3659769349560106,-1.149683856217663
19,128,-0.3339788608162482,0.4682335298474591,-0.5729900726745535,6,0,6,7,1,2,6,305,15,1,-0.662464590397986,-0.17319276990507018,-0.5984353113135704,-0.3659769349560106,-1.0135647887905015
19,944,-0.4149938539323435,1.0629854348171588,-0.4088686657034829,6,0,6,15,1,2,6,305,15,1,-1.4428300692434257,-1.1122369704215649,0.631491855261038,-0.3659769349560106,-1.3538624573584053
8,279,-0.39804675360142394,-0.1265183751222407,0.10288601468187414,6,1,15,14,1,2,31,54,53,1,-0.03128662956711562,0.08973960623954831,0.29605717346796295,-0.3659769349560106,0.5518044866218568
19,728,-0.509649609439187,1.0629854348171588,-0.9077196230588153,6,0,45,7,1,2,106,266,276,1,-1.6493974018789832,-1.8634723308347605,-0.19591369316188043,-0.3659769349560106,-1.6941601259263093
31,876,-0.3877131558386681,-0.4238943276070906,0.1048913229905942,6,0,6,4,1,2,6,7,52,1,0.23036532510459062,-0.5187610356951402,-0.9264158890667994,-0.3659769349560106,0.2115068180539528
8,753,-0.4604616840884692,0.4682335298474591,-0.7053927334407392,6,0,6,15,1,2,2,274,286,1,-1.5461137355612045,-0.9244281303182659,-0.22573010932126486,-0.3659769349560106,-1.149683856217663
8,889,-0.2909906807792734,0.765609482332309,-0.4666389824581745,6,1,6,2,1,2,106,41,67,1,-0.662464590397986,0.014616070198228739,0.10970457247181016,-0.3659769349560106,-0.4690885190818551
19,84,-0.5509840004902103,0.765609482332309,-0.11940677070563205,0,1,15,7,1,2,106,252,270,1,-1.6953012535757739,-2.0888429389587193,-0.8593289527081843,-1.5992772771400139,0.5518044866218568
19,707,-0.5695844764631709,-1.0186462325767904,-0.5429801978979691,6,1,45,7,1,2,6,310,17,1,-1.1674069590626823,-0.6614957541736474,0.22151613306950182,-0.3659769349560106,-0.6052075865090166
8,285,-0.21824215252947235,0.765609482332309,-0.31233486746805506,6,1,45,7,1,2,31,54,53,1,-0.03128662956711562,0.08973960623954831,0.29605717346796295,-0.3659769349560106,0.5518044866218568
7,145,-0.5588375347899048,-0.7212702800919405,-0.2606676629572941,6,1,45,13,1,2,7,312,5,1,-1.5461137355612045,-0.6614957541736474,-0.6729763517120315,-0.3659769349560106,-1.149683856217663
8,385,-0.4761687526878581,-0.4238943276070906,-0.11286772187284927,6,1,45,15,1,2,6,305,24,1,-0.6854165162463812,-0.2558286595505217,-0.635705831512801,-0.3659769349560106,-0.4690885190818551
7,925,-0.36497965410451577,0.4682335298474591,-0.45793768814468483,6,1,15,15,1,2,8,318,8,1,-0.6532838200586278,-0.2558286595505217,0.07988815631242571,-0.3659769349560106,-0.809386187649759
8,890,-0.2947107759738655,1.0629854348171588,-0.5268156691833301,6,1,45,2,1,2,106,41,67,1,-0.662464590397986,0.014616070198228739,0.10970457247181016,-0.3659769349560106,-0.4690885190818551
8,283,-0.32157813015703074,-0.1265183751222407,0.2053311130621376,2,0,58,1,1,2,29,57,131,1,-0.03128662956711562,0.08973960623954831,0.29605717346796295,-0.3659769349560106,0.5518044866218568
6,368,-0.4827822552560218,-0.4238943276070906,-0.4572925019931836,6,1,45,14,1,2,107,56,60,1,-0.6532838200586278,-0.022945697822431048,0.8774772885759596,-0.3659769349560106,0.007328216913210426
7,172,-0.3484454843401959,-1.0186462325767904,0.222768576616225,6,0,45,4,1,2,6,316,89,1,0.19823262891683724,0.014616070198228739,-0.33754166991895657,-0.3659769349560106,-0.12879085051395114
8,747,-0.6439863803550129,-2.20815004251619,0.30995589438666205,0,1,32,14,3,2,2,258,283,1,-1.6493974018789832,-1.8259105628141008,-0.002106988125881519,-0.3659769349560106,-1.149683856217663
29,850,-0.5348635879803112,0.4682335298474591,-0.473526780562039,6,1,45,15,1,2,8,308,21,1,-1.2339675440230287,-0.909403423110002,-0.41208271031741767,-0.3659769349560106,-1.149683856217663
29,858,-0.5013827312289824,0.4682335298474591,-0.1957305486818726,2,1,54,15,1,2,0,279,36,1,-0.6693501681525046,-0.6840328149860433,-0.39717450223772544,-0.3659769349560106,-1.149683856217663
30,547,0.081432182590447,0.765609482332309,0.2925184308325746,2,1,45,3,1,2,60,78,167,2,1.0359779223832652,0.46535728644614616,1.5259843400425714,3.3339240915959993,0.2115068180539528
21,478,0.8874528080854024,0.17085757736260918,-0.15039314344124535,2,0,45,1,3,2,52,102,195,0,0.8546577081809424,0.9160985026940636,0.36314410982657797,-0.3659769349560106,0.9601616889033414
8,302,-0.238909348054984,0.4682335298474591,0.10070633173761322,2,1,54,15,1,2,29,57,129,1,-0.03128662956711562,0.08973960623954831,0.5569508148625768,-0.3659769349560106,0.2115068180539528
21,599,0.24676974679454042,-0.7212702800919405,0.8871533754905091,2,0,71,15,1,2,52,167,233,0,1.1943462107371927,2.801699257331185,1.5334384440824174,-0.3659769349560106,1.2323998237576645
30,274,-0.25130966537029104,-0.1265183751222407,-0.1608556215736978,6,0,45,1,1,2,37,69,68,1,0.7720307751267194,0.05217783821888852,-0.8593289527081843,-0.3659769349560106,0.2115068180539528
0,47,-0.052904588325378914,-1.0186462325767904,0.2053311130621376,2,0,27,15,1,2,42,122,187,1,0.9579413744987212,0.43530787202961835,-1.2171259466207978,-0.3659769349560106,0.7559830877625991
